Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
Salaries and Expenses,Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0,0,0,0,0
"Proceeds from Sale of Property, Judiciary Information Technology Fund",Protection,Law courts,Federal litigative and judicial activities (752),"Proceeds from Sale of Property, Judiciary Information Technology Fund",0,0,0,0,0
"Advances and Reimbursements, Judiciary Information Technology Fund",Protection,Law courts,Federal litigative and judicial activities (752),"Advances and Reimbursements, Judiciary Information Technology Fund",0,0,0,0,0
Federal Payment to Judicial Officers Retirement Fund,Protection,Law courts,Federal litigative and judicial activities (752),Federal Payment to Judicial Officers Retirement Fund,0,0,0,0,0
Judiciary Filing Fees,Protection,Law courts,Federal litigative and judicial activities (752),Judiciary Filing Fees,0,0,0,0,0
Judiciary Information Technology Fund,Protection,Law courts,Federal litigative and judicial activities (752),Judiciary Information Technology Fund,0,0,0,0,0
Salaries and Expenses,Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0,0,0,0,0
Defender Services,Protection,Law courts,Federal litigative and judicial activities (752),Defender Services,0,0,0,0,0
Fees of Jurors and Commissioners,Protection,Law courts,Federal litigative and judicial activities (752),Fees of Jurors and Commissioners,0,0,0,0,0
Court Security,Protection,Law courts,Federal litigative and judicial activities (752),Court Security,0,0,0,0,0
Salaries and Expenses,Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0,0,0,0,0
Payment to Judiciary Trust Funds,Protection,Law courts,Federal litigative and judicial activities (752),Payment to Judiciary Trust Funds,0,0,0,0,0
Salaries and Expenses,Protection,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0,0,0,0,0
Payment to Legal Services Corporation,Protection,Law courts,Federal litigative and judicial activities (752),Payment to Legal Services Corporation,0,0,0,0,0
Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,Protection,Law courts,Federal litigative and judicial activities (752),Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,0,0,0,0,0
"Research, Evaluation, and Statistics",Protection,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0,0,0,0,0
"Research, Evaluation, and Statistics",Protection,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0,0,0,0,0
Public Safety Officer Benefits,Protection,Law courts,Criminal justice assistance (754),Public Safety Officer Benefits,0,0,0,0,0
State and Local Law Enforcement Assistance,Protection,Law courts,Criminal justice assistance (754),State and Local Law Enforcement Assistance,0,0,0,0,0
Juvenile Justice Programs,Protection,Law courts,Criminal justice assistance (754),Juvenile Justice Programs,0,0,0,0,0
Community Oriented Policing Services,Protection,Law courts,Criminal justice assistance (754),Community Oriented Policing Services,0,0,0,0,0
Violence against Women Prevention and Prosecution Programs,Protection,Law courts,Criminal justice assistance (754),Violence against Women Prevention and Prosecution Programs,0,0,0,0,0
Community Oriented Policing Stabilization Fund,Protection,Law courts,Criminal justice assistance (754),Community Oriented Policing Stabilization Fund,0,0,0,0,0
Crime Victims Fund,Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,0,0,0,0,0
Crime Victims Fund,Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,0,0,0,0,0
Crime Victims Fund,Protection,Law courts,Criminal justice assistance (754),Crime Victims Fund,0,0,0,0,0
September 11th Victim Compensation (general Fund),Protection,Law courts,Criminal justice assistance (754),September 11th Victim Compensation (general Fund),0,0,0,0,0
Highintensity Drug Trafficking Areas Program,Protection,Law courts,Criminal justice assistance (754),Highintensity Drug Trafficking Areas Program,0,0,0,0,0
Current Operations  Judicial and Legal Services (E25),Protection,Law courts,Current Operations  Judicial and Legal Services (E25),,0,0,0,0,0
Construction  Judicial and Legal Services (F25),Protection,Law courts,Construction  Judicial and Legal Services (F25),,0,0,0,0,0
Other Capital Outlay  Judicial and Legal Services (G25),Protection,Law courts,Other Capital Outlay  Judicial and Legal Services (G25),,0,0,0,0,0
Buildings and Facilities,Protection,Prisons,Federal correctional activities (753),Buildings and Facilities,0,0,0,0,0
Salaries and Expenses,Protection,Prisons,Federal correctional activities (753),Salaries and Expenses,0,0,0,0,0
Detention Trustee,Protection,Prisons,Federal correctional activities (753),Detention Trustee,0,0,0,0,0
Current Operations  Correctional Institutions (E04),Protection,Prisons,Current Operations  Correctional Institutions (E04),,0,0,0,0,0
Current Operations  Corrections  Other (E05),Protection,Prisons,Current Operations  Corrections  Other (E05),,0,0,0,0,0
Construction  Correctional Institutions (F04),Protection,Prisons,Construction  Correctional Institutions (F04),,0,0,0,0,0
Construction  Corrections  Other (F05),Protection,Prisons,Construction  Corrections  Other (F05),,0,0,0,0,0
Other Capital Outlay  Correctional Institutions (G04),Protection,Prisons,Other Capital Outlay  Correctional Institutions (G04),,0,0,0,0,0
Other Capital Outlay  Corrections  Other (G05),Protection,Prisons,Other Capital Outlay  Corrections  Other (G05),,0,0,0,0,0
R&D Public order and safety,Protection,R&D Public order and safety,,,0,0,0,0,0
"Current Operations  Protective Inspection and Regulation, NEC (E66)",Protection,Public order and safety n.e.c.,"Current Operations  Protective Inspection and Regulation, NEC (E66)",,0,0,0,0,0
"Construction  Protective Inspection and Regulation, NEC (F66)",Protection,Public order and safety n.e.c.,"Construction  Protective Inspection and Regulation, NEC (F66)",,0,0,0,0,0
"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",Protection,Public order and safety n.e.c.,"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",,0,0,0,0,0
Payment to FRA for AMTRAK Debt Restructuring,Transportation,Transport,Ground transportation (401),Payment to FRA for AMTRAK Debt Restructuring,0,0,0,0,0
Immediate Transportation Investments,Transportation,Transport,Ground transportation (401),Immediate Transportation Investments,0,0,0,0,0
"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",Transportation,Transport,Ground transportation (401),"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",0,0,0,0,0
"Payment from the General Fund, Transportation Trust Fund (Mass Transit)",Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (Mass Transit)",0,0,0,0,0
"Payment from the General Fund, Transportation Trust Fund (Highway)",Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (Highway)",0,0,0,0,0
"Payment from the General Fund, Transportation Trust Fund (multimodal Account)",Transportation,Transport,Ground transportation (401),"Payment from the General Fund, Transportation Trust Fund (multimodal Account)",0,0,0,0,0
Emergency Relief Program,Transportation,Transport,Ground transportation (401),Emergency Relief Program,0,0,0,0,0
"Highway Infrastructure Investment, Recovery Act",Transportation,Transport,Ground transportation (401),"Highway Infrastructure Investment, Recovery Act",0,0,0,0,0
Payment to the Transportation Trust Fund,Transportation,Transport,Ground transportation (401),Payment to the Transportation Trust Fund,0,0,0,0,0
Highway Infrastructure Programs,Transportation,Transport,Ground transportation (401),Highway Infrastructure Programs,0,0,0,0,0
Federalaid Highways,Transportation,Transport,Ground transportation (401),Federalaid Highways,0,0,0,0,0
Federalaid Highways,Transportation,Transport,Ground transportation (401),Federalaid Highways,0,0,0,0,0
Federalaid Highways,Transportation,Transport,Ground transportation (401),Federalaid Highways,0,0,0,0,0
Miscellaneous Appropriations,Transportation,Transport,Ground transportation (401),Miscellaneous Appropriations,0,0,0,0,0
Miscellaneous Trust Funds,Transportation,Transport,Ground transportation (401),Miscellaneous Trust Funds,0,0,0,0,0
Motor Carrier Safety Grants,Transportation,Transport,Ground transportation (401),Motor Carrier Safety Grants,0,0,0,0,0
Motor Carrier Safety Operations and Programs,Transportation,Transport,Ground transportation (401),Motor Carrier Safety Operations and Programs,0,0,0,0,0
Operations and Research (Transportation Trust Fund),Transportation,Transport,Ground transportation (401),Operations and Research (Transportation Trust Fund),0,0,0,0,0
Highway Traffic Safety Grants,Transportation,Transport,Ground transportation (401),Highway Traffic Safety Grants,0,0,0,0,0
Safety and Operations,Transportation,Transport,Ground transportation (401),Safety and Operations,0,0,0,0,0
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,Transportation,Transport,Ground transportation (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,0,0,0,0,0
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,Transportation,Transport,Ground transportation (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,0,0,0,0,0
Network Development,Transportation,Transport,Ground transportation (401),Network Development,0,0,0,0,0
System Preservation,Transportation,Transport,Ground transportation (401),System Preservation,0,0,0,0,0
"Transit Capital Assistance, Recovery Act",Transportation,Transport,Ground transportation (401),"Transit Capital Assistance, Recovery Act",0,0,0,0,0
"Fixed Guideway Infrastructure Investment, Recovery Act",Transportation,Transport,Ground transportation (401),"Fixed Guideway Infrastructure Investment, Recovery Act",0,0,0,0,0
Washington Metropolitan Area Transit Authority,Transportation,Transport,Ground transportation (401),Washington Metropolitan Area Transit Authority,0,0,0,0,0
Formula Grants,Transportation,Transport,Ground transportation (401),Formula Grants,0,0,0,0,0
Capital Investment Grants,Transportation,Transport,Ground transportation (401),Capital Investment Grants,0,0,0,0,0
Research and University Research Centers,Transportation,Transport,Ground transportation (401),Research and University Research Centers,0,0,0,0,0
Transit Formula Grants,Transportation,Transport,Ground transportation (401),Transit Formula Grants,0,0,0,0,0
Operations and Safety,Transportation,Transport,Ground transportation (401),Operations and Safety,0,0,0,0,0
Transit Expansion and Livable Communities Programs,Transportation,Transport,Ground transportation (401),Transit Expansion and Livable Communities Programs,0,0,0,0,0
Bus and Rail State of Good Repair,Transportation,Transport,Ground transportation (401),Bus and Rail State of Good Repair,0,0,0,0,0
"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",Transportation,Transport,Ground transportation (401),"Supplemental Discretionary Grants for a National Surface Transportation System, Recovery Act",0,0,0,0,0
National Infrastructure Investments,Transportation,Transport,Ground transportation (401),National Infrastructure Investments,0,0,0,0,0
Surface Transportation Security,Transportation,Transport,Ground transportation (401),Surface Transportation Security,0,0,0,0,0
Immediate Transportation Investments,Transportation,Transport,Air transportation (402),Immediate Transportation Investments,0,0,0,0,0
Operations,Transportation,Transport,Air transportation (402),Operations,0,0,0,0,0
Aviation Insurance Revolving Fund,Transportation,Transport,Air transportation (402),Aviation Insurance Revolving Fund,0,0,0,0,0
Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),Transportation,Transport,Air transportation (402),Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),0,0,0,0,0
Grantsinaid for Airports (Airport and Airway Trust Fund),Transportation,Transport,Air transportation (402),Grantsinaid for Airports (Airport and Airway Trust Fund),0,0,0,0,0
Grantsinaid for Airports (Airport and Airway Trust Fund),Transportation,Transport,Air transportation (402),Grantsinaid for Airports (Airport and Airway Trust Fund),0,0,0,0,0
Facilities and Equipment (Airport and Airway Trust Fund),Transportation,Transport,Air transportation (402),Facilities and Equipment (Airport and Airway Trust Fund),0,0,0,0,0
"Research, Engineering and Development (Airport and Airway Trust Fund)",Transportation,Transport,Air transportation (402),"Research, Engineering and Development (Airport and Airway Trust Fund)",0,0,0,0,0
Essential Air Service and Rural Airport Improvement Fund,Transportation,Transport,Air transportation (402),Essential Air Service and Rural Airport Improvement Fund,0,0,0,0,0
Payments to Air Carriers,Transportation,Transport,Air transportation (402),Payments to Air Carriers,0,0,0,0,0
"Fees, Aviation Security Capital Fund",Transportation,Transport,Air transportation (402),"Fees, Aviation Security Capital Fund",0,0,0,0,0
"Fees, Aviation Security, Deficit Reduction",Transportation,Transport,Air transportation (402),"Fees, Aviation Security, Deficit Reduction",0,0,0,0,0
Federal Air Marshals,Transportation,Transport,Air transportation (402),Federal Air Marshals,0,0,0,0,0
Aviation Security,Transportation,Transport,Air transportation (402),Aviation Security,0,0,0,0,0
Aviation Security,Transportation,Transport,Air transportation (402),Aviation Security,0,0,0,0,0
Transportation Security Support,Transportation,Transport,Air transportation (402),Transportation Security Support,0,0,0,0,0
Transportation Threat Assessment and Credentialing,Transportation,Transport,Air transportation (402),Transportation Threat Assessment and Credentialing,0,0,0,0,0
Aeronautics,Transportation,Transport,Air transportation (402),Aeronautics,0,0,0,0,0
Operations and Training,Transportation,Transport,Water transportation (403),Operations and Training,0,0,0,0,0
Ocean Freight Differential,Transportation,Transport,Water transportation (403),Ocean Freight Differential,0,0,0,0,0
Retired Pay,Transportation,Transport,Water transportation (403),Retired Pay,0,0,0,0,0
Operating Expenses,Transportation,Transport,Water transportation (403),Operating Expenses,0,0,0,0,0
Reserve Training,Transportation,Transport,Water transportation (403),Reserve Training,0,0,0,0,0
"Acquisition, Construction, and Improvements",Transportation,Transport,Water transportation (403),"Acquisition, Construction, and Improvements",0,0,0,0,0
"Medicareeligible Retiree Health Fund Contribution, Homeland Security",Transportation,Transport,Water transportation (403),"Medicareeligible Retiree Health Fund Contribution, Homeland Security",0,0,0,0,0
Boat Safety,Transportation,Transport,Water transportation (403),Boat Safety,0,0,0,0,0
Pipeline Safety Fund,Transportation,Transport,Other transportation (407),Pipeline Safety Fund,0,0,0,0,0
Salaries and Expenses,Transportation,Transport,Other transportation (407),Salaries and Expenses,0,0,0,0,0
Pipeline Safety,Transportation,Transport,Other transportation (407),Pipeline Safety,0,0,0,0,0
Salaries and Expenses,Transportation,Transport,Other transportation (407),Salaries and Expenses,0,0,0,0,0
Salaries and Expenses,Transportation,Transport,Other transportation (407),Salaries and Expenses,0,0,0,0,0
Federal Intergovernmental  Air Transportation (B01),Transportation,Transport,Federal Intergovernmental  Air Transportation (B01),,0,0,0,0,0
Federal Intergovernmental  Highways (B46),Transportation,Transport,Federal Intergovernmental  Highways (B46),,0,0,0,0,0
Current Operations  Air Transportation (E01),Transportation,Transport,Current Operations  Air Transportation (E01),,0,0,0,0,0
Current Operations  Regular Highways (E44),Transportation,Transport,Current Operations  Regular Highways (E44),,0,0,0,0,0
Current Operations  Toll Highways (E45),Transportation,Transport,Current Operations  Toll Highways (E45),,0,0,0,0,0
Current Operations  Private Transit Subsidies (Disc. 2005) (E47),Transportation,Transport,Current Operations  Private Transit Subsidies (Disc. 2005) (E47),,0,0,0,0,0
Current Operations  Sea and Inland Port Facilities (E87),Transportation,Transport,Current Operations  Sea and Inland Port Facilities (E87),,0,0,0,0,0
Construction  Air Transportation (F01),Transportation,Transport,Construction  Air Transportation (F01),,0,0,0,0,0
Construction  Regular Highways (F44),Transportation,Transport,Construction  Regular Highways (F44),,0,0,0,0,0
Construction  Toll Highways (F45),Transportation,Transport,Construction  Toll Highways (F45),,0,0,0,0,0
Construction  Private Transit Subsidies (F47),Transportation,Transport,Construction  Private Transit Subsidies (F47),,0,0,0,0,0
Construction  Sea and Inland Port Facilities (F87),Transportation,Transport,Construction  Sea and Inland Port Facilities (F87),,0,0,0,0,0
Other Capital Outlay  Air Transportation (G01),Transportation,Transport,Other Capital Outlay  Air Transportation (G01),,0,0,0,0,0
Other Capital Outlay  Regular Highways (G44),Transportation,Transport,Other Capital Outlay  Regular Highways (G44),,0,0,0,0,0
Other Capital Outlay  Toll Highways (G45),Transportation,Transport,Other Capital Outlay  Toll Highways (G45),,0,0,0,0,0
Other Capital Outlay  Private Transit Subsidies (G47),Transportation,Transport,Other Capital Outlay  Private Transit Subsidies (G47),,0,0,0,0,0
Other Capital Outlay  Sea and Inland Port Facilities (G87),Transportation,Transport,Other Capital Outlay  Sea and Inland Port Facilities (G87),,0,0,0,0,0
Federal Intergovernmental  Transit Utilities (B94),Transportation,Transit,Federal Intergovernmental  Transit Utilities (B94),,0,0,0,0,0
Current Operations  Transit Utilities (E94),Transportation,Transit,Current Operations  Transit Utilities (E94),,0,0,0,0,0
Construction  Transit Utilities (F94),Transportation,Transit,Construction  Transit Utilities (F94),,0,0,0,0,0
Other Capital Outlay  Transit Utilities (G94),Transportation,Transit,Other Capital Outlay  Transit Utilities (G94),,0,0,0,0,0
Transit Utilities  Interest on Debt (I94),Transportation,Transit,Transit Utilities  Interest on Debt (I94),,0,0,0,0,0
Compensation of Members and Related Administrative Expenses,General Government,"Executive and legislative organs, financ",Legislative functions (801),Compensation of Members and Related Administrative Expenses,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,0,0,0,0,0
General Expenses,General Government,"Executive and legislative organs, financ",Legislative functions (801),General Expenses,0,0,0,0,0
Salaries,General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries,0,0,0,0,0
General Administration,General Government,"Executive and legislative organs, financ",Legislative functions (801),General Administration,0,0,0,0,0
Capitol Building,General Government,"Executive and legislative organs, financ",Legislative functions (801),Capitol Building,0,0,0,0,0
Senate Office Buildings,General Government,"Executive and legislative organs, financ",Legislative functions (801),Senate Office Buildings,0,0,0,0,0
House Office Buildings,General Government,"Executive and legislative organs, financ",Legislative functions (801),House Office Buildings,0,0,0,0,0
Capitol Power Plant,General Government,"Executive and legislative organs, financ",Legislative functions (801),Capitol Power Plant,0,0,0,0,0
Congressional Research Service: Salaries and Expenses,General Government,"Executive and legislative organs, financ",Legislative functions (801),Congressional Research Service: Salaries and Expenses,0,0,0,0,0
Congressional Printing and Binding,General Government,"Executive and legislative organs, financ",Legislative functions (801),Congressional Printing and Binding,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Legislative functions (801),Salaries and Expenses,0,0,0,0,0
"Salaries, Officers and Employees",General Government,"Executive and legislative organs, financ",Legislative functions (801),"Salaries, Officers and Employees",0,0,0,0,0
Sergeant at Arms and Doorkeeper of the Senate,General Government,"Executive and legislative organs, financ",Legislative functions (801),Sergeant at Arms and Doorkeeper of the Senate,0,0,0,0,0
Inquiries and Investigations,General Government,"Executive and legislative organs, financ",Legislative functions (801),Inquiries and Investigations,0,0,0,0,0
Senators' Official Personnel and Office Expense Account,General Government,"Executive and legislative organs, financ",Legislative functions (801),Senators' Official Personnel and Office Expense Account,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Executive direction and management (802),Salaries and Expenses,0,0,0,0,0
Office of Management and Budget,General Government,"Executive and legislative organs, financ",Executive direction and management (802),Office of Management and Budget,0,0,0,0,0
The White House,General Government,"Executive and legislative organs, financ",Executive direction and management (802),The White House,0,0,0,0,0
Office of the United States Trade Representative,General Government,"Executive and legislative organs, financ",Executive direction and management (802),Office of the United States Trade Representative,0,0,0,0,0
Other Federal Drug Control Programs,General Government,"Executive and legislative organs, financ",Executive direction and management (802),Other Federal Drug Control Programs,0,0,0,0,0
Charges for Administrative Expenses of Social Security Act As Amended,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Charges for Administrative Expenses of Social Security Act As Amended,0,0,0,0,0
"New Installment Agreements, IRS Miscellaneous Retained Fees",General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"New Installment Agreements, IRS Miscellaneous Retained Fees",0,0,0,0,0
"General User Fees, IRS Miscellaneous Retained Fees",General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"General User Fees, IRS Miscellaneous Retained Fees",0,0,0,0,0
Underpayment and Fraud Collection,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Underpayment and Fraud Collection,0,0,0,0,0
Debt Collection,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Debt Collection,0,0,0,0,0
Federal Financing Bank,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Financing Bank,0,0,0,0,0
Financial Agent Services,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Financial Agent Services,0,0,0,0,0
Federal Reserve Bank Reimbursement Fund,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Federal Reserve Bank Reimbursement Fund,0,0,0,0,0
"Salaries and Expenses, Fiscal Service",General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0,0,0,0,0
"Salaries and Expenses, Fiscal Service",General Government,"Executive and legislative organs, financ",Central fiscal operations (803),"Salaries and Expenses, Fiscal Service",0,0,0,0,0
Reimbursements to Federal Reserve Banks,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Reimbursements to Federal Reserve Banks,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0,0,0,0,0
Informant Payments,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Informant Payments,0,0,0,0,0
Taxpayer Services,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Taxpayer Services,0,0,0,0,0
Enforcement,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Enforcement,0,0,0,0,0
Operations Support,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Operations Support,0,0,0,0,0
Business Systems Modernization,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Business Systems Modernization,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Salaries and Expenses,0,0,0,0,0
Treasury Inspector General for Tax Administration,General Government,"Executive and legislative organs, financ",Central fiscal operations (803),Treasury Inspector General for Tax Administration,0,0,0,0,0
Office of Inspector General,General Government,"Executive and legislative organs, financ",General property and records management (804),Office of Inspector General,0,0,0,0,0
Operating Expenses,General Government,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0,0,0,0,0
Governmentwide Policy,General Government,"Executive and legislative organs, financ",General property and records management (804),Governmentwide Policy,0,0,0,0,0
Federal Buildings Fund,General Government,"Executive and legislative organs, financ",General property and records management (804),Federal Buildings Fund,0,0,0,0,0
"Federal Buildings Fund, Recovery Act",General Government,"Executive and legislative organs, financ",General property and records management (804),"Federal Buildings Fund, Recovery Act",0,0,0,0,0
Operating Expenses,General Government,"Executive and legislative organs, financ",General property and records management (804),Operating Expenses,0,0,0,0,0
Salaries and Expenses,General Government,"Executive and legislative organs, financ",Central personnel management (805),Salaries and Expenses,0,0,0,0,0
Payment to Civil Service Retirement and Disability Fund,General Government,"Executive and legislative organs, financ",Central personnel management (805),Payment to Civil Service Retirement and Disability Fund,0,0,0,0,0
General Fund Payment to the Civil Service Retirement and Disability Fund,General Government,"Executive and legislative organs, financ",Central personnel management (805),General Fund Payment to the Civil Service Retirement and Disability Fund,0,0,0,0,0
Current Operations  Financial Administration (E23),General Government,"Executive and legislative organs, financ",Current Operations  Financial Administration (E23),,0,0,0,0,0
Current Operations  State Legislative Services (E26),General Government,"Executive and legislative organs, financ",Current Operations  State Legislative Services (E26),,0,0,0,0,0
Current Operations  Central Staff Services (E29),General Government,"Executive and legislative organs, financ",Current Operations  Central Staff Services (E29),,0,0,0,0,0
Current Operations  General Public Buildings (E31),General Government,"Executive and legislative organs, financ",Current Operations  General Public Buildings (E31),,0,0,0,0,0
Construction  Financial Administration (F23),General Government,"Executive and legislative organs, financ",Construction  Financial Administration (F23),,0,0,0,0,0
Construction  State Legislative Services (F26),General Government,"Executive and legislative organs, financ",Construction  State Legislative Services (F26),,0,0,0,0,0
Construction  Central Staff Services (F29),General Government,"Executive and legislative organs, financ",Construction  Central Staff Services (F29),,0,0,0,0,0
Construction  General Public Buildings (F31),General Government,"Executive and legislative organs, financ",Construction  General Public Buildings (F31),,0,0,0,0,0
Other Capital Outlay  Financial Administration (G23),General Government,"Executive and legislative organs, financ",Other Capital Outlay  Financial Administration (G23),,0,0,0,0,0
Other Capital Outlay  State Legislative Services (G26),General Government,"Executive and legislative organs, financ",Other Capital Outlay  State Legislative Services (G26),,0,0,0,0,0
Other Capital Outlay  Central Staff Services (G29),General Government,"Executive and legislative organs, financ",Other Capital Outlay  Central Staff Services (G29),,0,0,0,0,0
Other Capital Outlay  General Public Building (G31),General Government,"Executive and legislative organs, financ",Other Capital Outlay  General Public Building (G31),,0,0,0,0,0
Mineral Leasing and Associated Payments,General Government,General services,General purpose fiscal assistance (806),Mineral Leasing and Associated Payments,0,0,0,0,0
"Payments to the United States Territories, Fiscal Assistance",General Government,General services,General purpose fiscal assistance (806),"Payments to the United States Territories, Fiscal Assistance",0,0,0,0,0
Payments to States in Lieu of Coal Fee Receipts,General Government,General services,General purpose fiscal assistance (806),Payments to States in Lieu of Coal Fee Receipts,0,0,0,0,0
Payments in Lieu of Taxes,General Government,General services,General purpose fiscal assistance (806),Payments in Lieu of Taxes,0,0,0,0,0
Internal Revenue Collections for Puerto Rico,General Government,General services,General purpose fiscal assistance (806),Internal Revenue Collections for Puerto Rico,0,0,0,0,0
"Build America Bond Payments, Recovery Act",General Government,General services,General purpose fiscal assistance (806),"Build America Bond Payments, Recovery Act",0,0,0,0,0
"Refunds, Transfers, and Expenses of Operation, Puerto Rico",General Government,General services,General purpose fiscal assistance (806),"Refunds, Transfers, and Expenses of Operation, Puerto Rico",0,0,0,0,0
Federal Payment to the District of Columbia Courts,General Government,General services,General purpose fiscal assistance (806),Federal Payment to the District of Columbia Courts,0,0,0,0,0
Defender Services in District of Columbia Courts,General Government,General services,General purpose fiscal assistance (806),Defender Services in District of Columbia Courts,0,0,0,0,0
Forest Service Permanent Appropriations,General Government,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0,0,0,0,0
Forest Service Permanent Appropriations,General Government,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0,0,0,0,0
Social Security Integrity and Debt Reduction (807),General Government,General services,Social Security Integrity and Debt Reduction (807),,0,0,0,0,0
Assistance to Territories,General Government,General services,Other general government (808),Assistance to Territories,0,0,0,0,0
Compact of Free Association,General Government,General services,Other general government (808),Compact of Free Association,0,0,0,0,0
Federal Trust Programs,General Government,General services,Other general government (808),Federal Trust Programs,0,0,0,0,0
"Claims, Judgments, and Relief Acts",General Government,General services,Other general government (808),"Claims, Judgments, and Relief Acts",0,0,0,0,0
Government Printing Office Revolving Fund,General Government,General services,Other general government (808),Government Printing Office Revolving Fund,0,0,0,0,0
Salaries and Expenses,General Government,General services,Other general government (808),Salaries and Expenses,0,0,0,0,0
Federal Intergovernmental  General Local Government Support (B30),General Government,General services,Federal Intergovernmental  General Local Government Support (B30),,0,0,0,0,0
Space Operations,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Operations,0,0,0,0,0
Science,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Science,0,0,0,0,0
Cross Agency Support,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Cross Agency Support,0,0,0,0,0
Exploration,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Exploration,0,0,0,0,0
Education,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Education,0,0,0,0,0
"Construction, Environmental Compliance, and Remediation",Other Spending,Basic research,"Space flight, research, and supporting activities (252)","Construction, Environmental Compliance, and Remediation",0,0,0,0,0
Space Technology,Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Technology,0,0,0,0,0
Deposit Insurance Fund,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Deposit Insurance Fund,0,0,0,0,0
Orderly Liquidation Fund,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Orderly Liquidation Fund,0,0,0,0,0
Credit Union Share Insurance Fund,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Credit Union Share Insurance Fund,0,0,0,0,0
Central Liquidity Facility,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Central Liquidity Facility,0,0,0,0,0
Temporary Corporate Credit Union Stabilization Fund,Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Temporary Corporate Credit Union Stabilization Fund,0,0,0,0,0
"Surveys, Investigations, and Research",Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Surveys, Investigations, and Research",0,0,0,0,0
Coastal Impact Assistance,Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Coastal Impact Assistance,0,0,0,0,0
