Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Contribution to the International Bank for Reconstruction and Development,KRAS,CDKN2A,NRXN1,Contribution to the International Bank for Reconstruction and Development,0.316,b,,,,0.316
Contribution to the African Development Bank,KRAS,CDKN2A,NRXN1,Contribution to the African Development Bank,0.218,b,,,,0.218
Clean Technology Fund,KRAS,CDKN2A,NRXN1,Clean Technology Fund,0.185,b,,,,0.185
Debt Restructuring,KRAS,CDKN2A,NRXN1,Debt Restructuring,0.183,b,,,,0.183
Operating Expenses of the Agency for International Development,KRAS,CDKN2A,NRXN1,Operating Expenses of the Agency for International Development,1.314,b,,,,1.314
"Operating Expenses, Office of Inspector General",KRAS,CDKN2A,NRXN1,"Operating Expenses, Office of Inspector General",0.062,b,,,,0.062
Development Assistance Program,KRAS,CDKN2A,NRXN1,Development Assistance Program,2.365,b,,,,2.365
HIV/AIDS Working Capital Fund,KRAS,CDKN2A,NRXN1,HIV/AIDS Working Capital Fund,0.08,b,,,,0.08
International Disaster Assistance,KRAS,CDKN2A,NRXN1,International Disaster Assistance,0.916,b,,,,0.916
Development Credit Authority Program Account,KRAS,CDKN2A,NRXN1,Development Credit Authority Program Account,0.059,b,,,,0.059
Capital Investment Fund of the United States Agency for International Development.,KRAS,CDKN2A,NRXN1,Capital Investment Fund of the United States Agency for International Development.,0.137,b,,,,0.137
"Assistance for Europe, Eurasia and Central Asia",KRAS,CDKN2A,NRXN1,"Assistance for Europe, Eurasia and Central Asia",0.576,b,,,,0.576
Economic Assistance Loans Liquidating Account,KRAS,CDKN2A,NRXN1,Economic Assistance Loans Liquidating Account,0.344,b,,,,0.344
Overseas Private Investment Corporation Program Account,KRAS,CDKN2A,NRXN1,Overseas Private Investment Corporation Program Account,0.054,b,,,,0.054
"Overseas Private Investment Corporation Loans, Negative Subsidies",KRAS,CDKN2A,NRXN1,"Overseas Private Investment Corporation Loans, Negative Subsidies",0.1,b,,,,0.1
Overseas Private Investment Corporation Noncredit Account,KRAS,CDKN2A,NRXN1,Overseas Private Investment Corporation Noncredit Account,0.175,b,,,,0.175
Trade and Development Agency,KRAS,CDKN2A,NRXN1,Trade and Development Agency,0.061,b,,,,0.061
Peace Corps,KRAS,CDKN2A,NRXN1,Peace Corps,0.375,b,,,,0.375
Millennium Challenge Corporation,KRAS,CDKN2A,NRXN1,Millennium Challenge Corporation,1.484,b,,,,1.484
"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",KRAS,CDKN2A,NRXN1,"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",0.276,b,,,,0.276
Food for Peace Title II Grants,KRAS,CDKN2A,NRXN1,Food for Peace Title II Grants,1.437,b,,,,1.437
McGovernDole International Food for APC and Child Nutrition Program,KRAS,CDKN2A,NRXN1,McGovernDole International Food for APC and Child Nutrition Program,0.202,b,,,,0.202
"Federal Contributions, Foreign Service Retirement and Disability Fund",KRAS,CDKN2A,ODF1,"Federal Contributions, Foreign Service Retirement and Disability Fund",0.286,b,,,,0.286
Contributions for International Peacekeeping Activities,KRAS,CDKN2A,ODF1,Contributions for International Peacekeeping Activities,2.05,b,,,,2.05
Contributions to International Organizations,KRAS,CDKN2A,ODF1,Contributions to International Organizations,1.569,b,,,,1.569
Diplomatic and Consular Programs,KRAS,CDKN2A,ODF1,Diplomatic and Consular Programs,10.852,b,,,,10.852
Capital Investment Fund,KRAS,CDKN2A,ODF1,Capital Investment Fund,0.082,b,,,,0.082
Conflict Stabilization Operations,KRAS,CDKN2A,ODF1,Conflict Stabilization Operations,0.071,b,,,,0.071
Working Capital Fund,KRAS,CDKN2A,ODF1,Working Capital Fund,0.276,b,,,,0.276
Office of the Inspector General,KRAS,CDKN2A,ODF1,Office of the Inspector General,0.13,b,,,,0.13
"Embassy Security, Construction, and Maintenance",KRAS,CDKN2A,ODF1,"Embassy Security, Construction, and Maintenance",1.287,b,,,,1.287
Payment to Foreign Service Retirement and Disability Fund,KRAS,CDKN2A,ODF1,Payment to Foreign Service Retirement and Disability Fund,0.286,b,,,,0.286
Salaries and Expenses,KRAS,CDKN2A,ODF1,Salaries and Expenses,0.083,b,,,,0.083
National Endowment for Democracy,KRAS,CDKN2A,OR1B1,National Endowment for Democracy,0.135,b,,,,0.135
Educational and Cultural Exchange Programs,KRAS,CDKN2A,OR1B1,Educational and Cultural Exchange Programs,0.652,b,,,,0.652
International Broadcasting Operations,KRAS,CDKN2A,OR1B1,International Broadcasting Operations,0.717,b,,,,0.717
Exchange Stabilization Fund,KRAS,CDKN2A,OR6V1,Exchange Stabilization Fund,0.296,b,,,,0.296
"Deposits, Advances, Foreign Military Sales Trust Fund",KRAS,CDKN2A,OR6V1,"Deposits, Advances, Foreign Military Sales Trust Fund",27.743,b,,,,27.743
Foreign Military Sales Trust Fund,KRAS,CDKN2A,OR6V1,Foreign Military Sales Trust Fund,30.867,b,,,,30.867
ExportImport Bank Loans Program Account,KRAS,CDKN2A,OR6V1,ExportImport Bank Loans Program Account,0.403,b,,,,0.403
"ExportImport Bank Loans, Negative Subsidies",KRAS,CDKN2A,OR6V1,"ExportImport Bank Loans, Negative Subsidies",0.364,b,,,,0.364
International cooperation (156),KRAS,CDKN2A,OR6V1,,0,,0,0,0,0
Emergency Food and Shelter,MYC,CREBBP,PDGFRB,Emergency Food and Shelter,0.1,b,,,,0.1
"Funds for Strengthening Markets, Income, and Supply (section 32)",MYC,CREBBP,PDGFRB,"Funds for Strengthening Markets, Income, and Supply (section 32)",1.044,b,,,,1.044
Supplemental Nutrition Assistance Program,MYC,CREBBP,PDGFRB,Supplemental Nutrition Assistance Program,7.034,b,,,,7.034
Supplemental Nutrition Assistance Program,MYC,CREBBP,PDGFRB,Supplemental Nutrition Assistance Program,75.716,b,,,,75.716
Commodity Assistance Program,MYC,CREBBP,PDGFRB,Commodity Assistance Program,0.254,b,,,,0.254
Nutrition Programs Administration,MYC,CREBBP,PDGFRB,Nutrition Programs Administration,0.146,b,,,,0.146
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",MYC,CREBBP,PDGFRB,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",7.427,b,,,,7.427
Child Nutrition Programs,MYC,CREBBP,PDGFRB,Child Nutrition Programs,19.768,b,,,,19.768
Child Nutrition Programs,MYC,CREBBP,PDGFRB,Child Nutrition Programs,0.191,b,,,,0.191
"PEG3",MYC,CREBBP,"PEG3",,0,,0,0,0,0
"Current Operations  MYC, Cash Assistance  Other (Disc. 2005) (E68)",MYC,CREBBP,"PEG3",,0,,0,0,0,0
"Assistance and Subsidies  Public MYC, Federal Categorical Assistance Programs (J67)",MYC,CREBBP,"PEG3",,0,g,0,7.6,9.3,16.9
"Assistance and Subsidies  Public MYC, Cash Assistance Programs  Other (J68)",MYC,CREBBP,"PEG3",,0,g,0,6.8,2.6,9.4
Salaries and Expenses,MYC,CTNND1,PIK3R3,Salaries and Expenses,0.183,b,,,,0.183
Pension Benefit Guaranty Corporation Fund,MYC,CTNND1,PIK3R3,Pension Benefit Guaranty Corporation Fund,1.575,b,,,,1.575
Special Benefits for Disabled Coal Miners,MYC,CTNND1,PIK3R3,Special Benefits for Disabled Coal Miners,0.168,b,,,,0.168
Black Lung Disability Trust Fund,MYC,CTNND1,PIK3R3,Black Lung Disability Trust Fund,0.309,b,,,,0.309
Special Workers' Compensation Expenses,MYC,CTNND1,PIK3R3,Special Workers' Compensation Expenses,0.147,b,,,,0.147
Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,MYC,CTNND1,PIK3R3,Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,0.057,b,,,,0.057
Payment of Interest on Advances to the Railroad Retirement Board,MYC,CTNND1,PIK3R3,Payment of Interest on Advances to the Railroad Retirement Board,0.106,b,,,,0.106
Federal Payment to the District of Columbia Pension Fund,MYC,CTNND1,PIK3R3,Federal Payment to the District of Columbia Pension Fund,0.469,b,,,,0.469
"Federal Contribution, DC Federal Pension Fund",MYC,CTNND1,PIK3R3,"Federal Contribution, DC Federal Pension Fund",0.469,b,,,,0.469
District of Columbia Federal Pension Fund,MYC,CTNND1,PIK3R3,District of Columbia Federal Pension Fund,0.554,b,,,,0.554
Federal Payments to the Railroad Retirement Accounts,MYC,CTNND1,PIK3R3,Federal Payments to the Railroad Retirement Accounts,0.544,b,,,,0.544
"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",MYC,CTNND1,PIK3R3,"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",0.211,b,,,,0.211
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",MYC,CTNND1,PIK3R3,"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",3.837,b,,,,3.837
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",MYC,CTNND1,PIK3R3,"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",0.485,b,,,,0.485
Railroad Social Security Equivalent Benefit Account,MYC,CTNND1,PIK3R3,Railroad Social Security Equivalent Benefit Account,6.887,b,,,,6.887
"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",MYC,CTNND1,PIK3R3,"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",1.983,b,,,,1.983
"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",MYC,CTNND1,PIK3R3,"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",0.333,b,,,,0.333
Rail Industry Pension Fund,MYC,CTNND1,PIK3R3,Rail Industry Pension Fund,0.074,b,,,,0.074
Rail Industry Pension Fund,MYC,CTNND1,PIK3R3,Rail Industry Pension Fund,4.984,b,,,,4.984
National Railroad Retirement Investment Trust,MYC,CTNND1,PIK3R3,National Railroad Retirement Investment Trust,2.061,b,,,,2.061
Workers Compensation  Benefit Payments (Y14),MYC,CTNND1,PIK3R3,,0,g,0,12.1,0,12.1
"Troubled Asset Relief Program, DCLRE1C Programs",MYC,DCLRE1C,PKHD1L1,"Troubled Asset Relief Program, DCLRE1C Programs",12.148,b,,,,12.148
DCLRE1C Personnel Compensation and Benefits,MYC,DCLRE1C,PKHD1L1,DCLRE1C Personnel Compensation and Benefits,0.399,b,,,,0.399
"Administration, Operations and Management",MYC,DCLRE1C,PKHD1L1,"Administration, Operations and Management",0.531,b,,,,0.531
Public and Indian DCLRE1C Personnel Compensation and Benefits,MYC,DCLRE1C,PKHD1L1,Public and Indian DCLRE1C Personnel Compensation and Benefits,0.211,b,,,,0.211
Public DCLRE1C Operating Fund,MYC,DCLRE1C,PKHD1L1,Public DCLRE1C Operating Fund,4.276,b,,,,4.276
Revitalization of Severely Distressed Public DCLRE1C (HOPE VI),MYC,DCLRE1C,PKHD1L1,Revitalization of Severely Distressed Public DCLRE1C (HOPE VI),0.15,b,,,,0.15
Tenant Based Rental Assistance,MYC,DCLRE1C,PKHD1L1,Tenant Based Rental Assistance,19.092,b,,,,19.092
Projectbased Rental Assistance,MYC,DCLRE1C,PKHD1L1,Projectbased Rental Assistance,0.26,b,,,,0.26
Projectbased Rental Assistance,MYC,DCLRE1C,PKHD1L1,Projectbased Rental Assistance,9.22,b,,,,9.22
Public DCLRE1C Capital Fund,MYC,DCLRE1C,PKHD1L1,Public DCLRE1C Capital Fund,2.371,b,,,,2.371
Native American DCLRE1C Block Grant,MYC,DCLRE1C,PKHD1L1,Native American DCLRE1C Block Grant,0.653,b,,,,0.653
DCLRE1C Certificate Fund,MYC,DCLRE1C,PKHD1L1,DCLRE1C Certificate Fund,0.808,b,,,,0.808
Selfhelp Homeownership Opportunity Program,MYC,DCLRE1C,PKHD1L1,Selfhelp Homeownership Opportunity Program,0.076,b,,,,0.076
Homeless Assistance Grants,MYC,DCLRE1C,PKHD1L1,Homeless Assistance Grants,0.707,b,,,,0.707
Homeless Assistance Grants,MYC,DCLRE1C,PKHD1L1,Homeless Assistance Grants,1.204,b,,,,1.204
Home Investment Partnership Program,MYC,DCLRE1C,PKHD1L1,Home Investment Partnership Program,1.611,b,,,,1.611
DCLRE1C Opportunities for Persons with AIDS,MYC,DCLRE1C,PKHD1L1,DCLRE1C Opportunities for Persons with AIDS,0.331,b,,,,0.331
Other Assisted DCLRE1C Programs,MYC,DCLRE1C,PKHD1L1,Other Assisted DCLRE1C Programs,0.367,b,,,,0.367
DCLRE1C for Persons with Disabilities,MYC,DCLRE1C,PKHD1L1,DCLRE1C for Persons with Disabilities,0.251,b,,,,0.251
DCLRE1C for the Elderly,MYC,DCLRE1C,PKHD1L1,DCLRE1C for the Elderly,1.005,b,,,,1.005
Affordable DCLRE1C Program,MYC,DCLRE1C,PKHD1L1,Affordable DCLRE1C Program,0.198,b,,,,0.198
Rental Assistance Program,MYC,DCLRE1C,PKHD1L1,Rental Assistance Program,0.953,b,,,,0.953
PTPRT,MYC,DCLRE1C,PTPRT,,0,g,48.9,0,0,48.9
Current Operations  DCLRE1C and Community Development (E50),MYC,DCLRE1C,PTPRT,,0,g,0,11.4,41.9,53.3
Construction  DCLRE1C and Community Development (F50),MYC,DCLRE1C,PTPRT,,0,g,0,0,5.2,5.2
Other Capital Outlay  DCLRE1C and Community Development (G50),MYC,DCLRE1C,PTPRT,,0,g,0,0.1,1.2,1.3
Payment Where Earned Income Credit Exceeds Liability for Tax,MYC,DNMT3A,RPS6KB2,Payment Where Earned Income Credit Exceeds Liability for Tax,52.615,b,,,,52.615
Payment Where Child Tax Credit Exceeds Liability for Tax,MYC,DNMT3A,RPS6KB2,Payment Where Child Tax Credit Exceeds Liability for Tax,23.045,b,,,,23.045
Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,MYC,DNMT3A,RPS6KB2,Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,0.075,b,,,,0.075
Payment Where Adoption Credit Exceeds Liability for Tax,MYC,DNMT3A,RPS6KB2,Payment Where Adoption Credit Exceeds Liability for Tax,0.355,b,,,,0.355
Receipts from SSI Administrative Fee,MYC,DNMT3A,RPS6KB2,Receipts from SSI Administrative Fee,0.139,b,,,,0.139
Recovery of Beneficiary Overpayments from SSI Program,MYC,DNMT3A,RPS6KB2,Recovery of Beneficiary Overpayments from SSI Program,3.202,b,,,,3.202
Supplemental Security Income Program,MYC,DNMT3A,RPS6KB2,Supplemental Security Income Program,3.915,b,,,,3.915
Supplemental Security Income Program,MYC,DNMT3A,RPS6KB2,Supplemental Security Income Program,54.36,b,,,,54.36
"State Supplemental Fees, SSI",MYC,DNMT3A,RPS6KB2,"State Supplemental Fees, SSI",0.17,b,,,,0.17
State Supplemental Fees,MYC,DNMT3A,RPS6KB2,State Supplemental Fees,0.157,b,,,,0.157
Federal Share of Child Support Collections,MYC,DNMT3A,RPS6KB2,Federal Share of Child Support Collections,1.045,b,,,,1.045
Payments to States for Child Support Enforcement and Family Support Programs,MYC,DNMT3A,RPS6KB2,Payments to States for Child Support Enforcement and Family Support Programs,3.873,b,,,,3.873
Low Income Home Energy Assistance,MYC,DNMT3A,RPS6KB2,Low Income Home Energy Assistance,3.338,b,,,,3.338
Refugee and Entrant Assistance,MYC,DNMT3A,RPS6KB2,Refugee and Entrant Assistance,0.722,b,,,,0.722
Refugee and Entrant Assistance,MYC,DNMT3A,RPS6KB2,Refugee and Entrant Assistance,0.108,b,,,,0.108
Payments to States for the Child Care and Development Block Grant,MYC,DNMT3A,RPS6KB2,Payments to States for the Child Care and Development Block Grant,2.452,b,,,,2.452
Contingency Fund,MYC,DNMT3A,RPS6KB2,Contingency Fund,0.393,b,,,,0.393
Payments for Foster Care and Permanency,MYC,DNMT3A,RPS6KB2,Payments for Foster Care and Permanency,7.17,b,,,,7.17
Child Care Entitlement to States,MYC,DNMT3A,RPS6KB2,Child Care Entitlement to States,3.286,b,,,,3.286
Temporary Assistance for Needy Families,MYC,DNMT3A,RPS6KB2,Temporary Assistance for Needy Families,17.306,b,,,,17.306
Children's Research and Technical Assistance,MYC,DNMT3A,RPS6KB2,Children's Research and Technical Assistance,0.068,b,,,,0.068
"RYR1",MYC,DNMT3A,"RYR1",,0,g,0,12.1,1.5,13.5
Current Operations  Public MYC Institutions (E77),MYC,DNMT3A,"RYR1",,0,g,0,1.9,4.5,6.4
Current Operations  Public MYC  Other (E79),MYC,DNMT3A,"RYR1",,0,g,0,39.6,31.9,71.5
"SALL1",MYC,DNMT3A,"SALL1",,0,,0,0,0,0
Construction  Public MYC Institutions (F77),MYC,DNMT3A,"SALL1",,0,g,0,0,0,0
Construction  Public MYC  Other (F79),MYC,DNMT3A,"SALL1",,0,g,0,0.2,0.1,0.3
"Other Capital Outlay  Public MYC, BRCA1 for Other Purposes (G75)",MYC,DNMT3A,"SALL1",,0,,0,0,0,0
Other Capital Outlay  Public MYC Institutions (G77),MYC,DNMT3A,"SALL1",,0,g,0,0,0.1,0.1
Other Capital Outlay  Public MYC  Other (G79),MYC,DNMT3A,"SALL1",,0,g,0,0.3,0.2,0.5
,,Level2,Level3,Level4,,,,,,
