Category,Level1,Level2,Level3,Level4,,,,
"Salaries and Expenses, United States Attorneys",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
"Salaries and Expenses, United States Marshals Service",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Assets Forfeiture Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Assets Forfeiture Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Assets Forfeiture Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
United States Trustee System Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Salaries and Expenses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
"Proceeds from Sale of Property, Judiciary Information Technology Fund",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
"Advances and Reimbursements, Judiciary Information Technology Fund",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Federal Payment to Judicial Officers Retirement Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Judiciary Filing Fees,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Judiciary Information Technology Fund,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Salaries and Expenses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Salaries and Expenses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Defender Services,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Fees of Jurors and Commissioners,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Court Security,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Salaries and Expenses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Payment to Judiciary Trust Funds,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Salaries and Expenses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Payment to Legal Services Corporation,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
"Research, Evaluation, and Statistics",MDM2,MBL2,Criminal justice assistance (754),,,,,
"Research, Evaluation, and Statistics",MDM2,MBL2,Criminal justice assistance (754),,,,,
Public Safety Officer Benefits,MDM2,MBL2,Criminal justice assistance (754),,,,,
State and Local Law Enforcement Assistance,MDM2,MBL2,Criminal justice assistance (754),,,,,
Juvenile Justice Programs,MDM2,MBL2,Criminal justice assistance (754),,,,,
Community Oriented Policing Services,MDM2,MBL2,Criminal justice assistance (754),,,,,
Violence against Women Prevention and Prosecution Programs,MDM2,MBL2,Criminal justice assistance (754),,,,,
Community Oriented Policing Stabilization Fund,MDM2,MBL2,Criminal justice assistance (754),,,,,
Crime Victims Fund,MDM2,MBL2,Criminal justice assistance (754),,,,,
Crime Victims Fund,MDM2,MBL2,Criminal justice assistance (754),,,,,
Crime Victims Fund,MDM2,MBL2,Criminal justice assistance (754),,,,,
September 11th Victim Compensation (general Fund),MDM2,MBL2,Criminal justice assistance (754),,,,,
Highintensity Drug Trafficking Areas Program,MDM2,MBL2,Criminal justice assistance (754),,,,,
Current Operations  Judicial and Legal Services (E25),MDM2,MBL2,Current Operations  Judicial and Legal Services (E25),,,,,
Construction  Judicial and Legal Services (F25),MDM2,MBL2,Construction  Judicial and Legal Services (F25),,,,,
Other Capital Outlay  Judicial and Legal Services (G25),MDM2,MBL2,Other Capital Outlay  Judicial and Legal Services (G25),,,,,
Buildings and Facilities,MDM2,SERPINA5,Federal correctional activities (753),,,,,
Salaries and Expenses,MDM2,SERPINA5,Federal correctional activities (753),,,,,
Detention Trustee,MDM2,SERPINA5,Federal correctional activities (753),,,,,
Current Operations  Correctional Institutions (E04),MDM2,SERPINA5,Current Operations  Correctional Institutions (E04),,,,,
Current Operations  Corrections  Other (E05),MDM2,SERPINA5,Current Operations  Corrections  Other (E05),,,,,
Construction  Correctional Institutions (F04),MDM2,SERPINA5,Construction  Correctional Institutions (F04),,,,,
Construction  Corrections  Other (F05),MDM2,SERPINA5,Construction  Corrections  Other (F05),,,,,
Other Capital Outlay  Correctional Institutions (G04),MDM2,SERPINA5,Other Capital Outlay  Correctional Institutions (G04),,,,,
Other Capital Outlay  Corrections  Other (G05),MDM2,SERPINA5,Other Capital Outlay  Corrections  Other (G05),,,,,
R&D Public order and safety,MDM2,SERPINA2,,,,,,
"Current Operations  Protective Inspection and Regulation, NEC (E66)",MDM2,SERPINA1,"Current Operations  Protective Inspection and Regulation, NEC (E66)",,,,,
"Construction  Protective Inspection and Regulation, NEC (F66)",MDM2,SERPINA1,"Construction  Protective Inspection and Regulation, NEC (F66)",,,,,
"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",MDM2,SERPINA1,"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",,,,,
Payment to FRA for AMTRAK Debt Restructuring,CD44,HMGB1,Ground CD44 (401),,,,,
Immediate CD44 Investments,CD44,HMGB1,Ground CD44 (401),,,,,
"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",CD44,HMGB1,Ground CD44 (401),,,,,
"Payment from the General Fund, CD44 Trust Fund (Mass Transit)",CD44,HMGB1,Ground CD44 (401),,,,,
"Payment from the General Fund, CD44 Trust Fund (Highway)",CD44,HMGB1,Ground CD44 (401),,,,,
"Payment from the General Fund, CD44 Trust Fund (multimodal Account)",CD44,HMGB1,Ground CD44 (401),,,,,
Emergency Relief Program,CD44,HMGB1,Ground CD44 (401),,,,,
"Highway Infrastructure Investment, Recovery Act",CD44,HMGB1,Ground CD44 (401),,,,,
Payment to the CD44 Trust Fund,CD44,HMGB1,Ground CD44 (401),,,,,
Highway Infrastructure Programs,CD44,HMGB1,Ground CD44 (401),,,,,
Federalaid Highways,CD44,HMGB1,Ground CD44 (401),,,,,
Federalaid Highways,CD44,HMGB1,Ground CD44 (401),,,,,
Federalaid Highways,CD44,HMGB1,Ground CD44 (401),,,,,
Miscellaneous Appropriations,CD44,HMGB1,Ground CD44 (401),,,,,
Miscellaneous Trust Funds,CD44,HMGB1,Ground CD44 (401),,,,,
Motor Carrier Safety Grants,CD44,HMGB1,Ground CD44 (401),,,,,
Motor Carrier Safety Operations and Programs,CD44,HMGB1,Ground CD44 (401),,,,,
Operations and Research (CD44 Trust Fund),CD44,HMGB1,Ground CD44 (401),,,,,
Highway Traffic Safety Grants,CD44,HMGB1,Ground CD44 (401),,,,,
Safety and Operations,CD44,HMGB1,Ground CD44 (401),,,,,
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,CD44,HMGB1,Ground CD44 (401),,,,,
Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,CD44,HMGB1,Ground CD44 (401),,,,,
Network Development,CD44,HMGB1,Ground CD44 (401),,,,,
System Preservation,CD44,HMGB1,Ground CD44 (401),,,,,
"Transit Capital Assistance, Recovery Act",CD44,HMGB1,Ground CD44 (401),,,,,
"Fixed Guideway Infrastructure Investment, Recovery Act",CD44,HMGB1,Ground CD44 (401),,,,,
Washington Metropolitan Area Transit Authority,CD44,HMGB1,Ground CD44 (401),,,,,
Formula Grants,CD44,HMGB1,Ground CD44 (401),,,,,
Capital Investment Grants,CD44,HMGB1,Ground CD44 (401),,,,,
Research and University Research Centers,CD44,HMGB1,Ground CD44 (401),,,,,
Transit Formula Grants,CD44,HMGB1,Ground CD44 (401),,,,,
Operations and Safety,CD44,HMGB1,Ground CD44 (401),,,,,
Transit Expansion and Livable Communities Programs,CD44,HMGB1,Ground CD44 (401),,,,,
Bus and Rail State of Good Repair,CD44,HMGB1,Ground CD44 (401),,,,,
"Supplemental Discretionary Grants for a National Surface CD44 System, Recovery Act",CD44,HMGB1,Ground CD44 (401),,,,,
National Infrastructure Investments,CD44,HMGB1,Ground CD44 (401),,,,,
Surface CD44 Security,CD44,HMGB1,Ground CD44 (401),,,,,
Immediate CD44 Investments,CD44,HMGB1,Air CD44 (402),,,,,
Operations,CD44,HMGB1,Air CD44 (402),,,,,
Aviation Insurance Revolving Fund,CD44,HMGB1,Air CD44 (402),,,,,
Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),CD44,HMGB1,Air CD44 (402),,,,,
Grantsinaid for Airports (Airport and Airway Trust Fund),CD44,HMGB1,Air CD44 (402),,,,,
Grantsinaid for Airports (Airport and Airway Trust Fund),CD44,HMGB1,Air CD44 (402),,,,,
Facilities and Equipment (Airport and Airway Trust Fund),CD44,HMGB1,Air CD44 (402),,,,,
"Research, Engineering and Development (Airport and Airway Trust Fund)",CD44,HMGB1,Air CD44 (402),,,,,
Essential Air Service and Rural Airport Improvement Fund,CD44,HMGB1,Air CD44 (402),,,,,
Payments to Air Carriers,CD44,HMGB1,Air CD44 (402),,,,,
"Fees, Aviation Security Capital Fund",CD44,HMGB1,Air CD44 (402),,,,,
"Fees, Aviation Security, Deficit Reduction",CD44,HMGB1,Air CD44 (402),,,,,
Federal Air Marshals,CD44,HMGB1,Air CD44 (402),,,,,
Aviation Security,CD44,HMGB1,Air CD44 (402),,,,,
Aviation Security,CD44,HMGB1,Air CD44 (402),,,,,
CD44 Security Support,CD44,HMGB1,Air CD44 (402),,,,,
CD44 Threat Assessment and Credentialing,CD44,HMGB1,Air CD44 (402),,,,,
Aeronautics,CD44,HMGB1,Air CD44 (402),,,,,
Operations and Training,CD44,HMGB1,Water CD44 (403),,,,,
Ocean Freight Differential,CD44,HMGB1,Water CD44 (403),,,,,
Retired Pay,CD44,HMGB1,Water CD44 (403),,,,,
Operating Expenses,CD44,HMGB1,Water CD44 (403),,,,,
Reserve Training,CD44,HMGB1,Water CD44 (403),,,,,
"Acquisition, Construction, and Improvements",CD44,HMGB1,Water CD44 (403),,,,,
"Medicareeligible Retiree Health Fund Contribution, Homeland Security",CD44,HMGB1,Water CD44 (403),,,,,
Boat Safety,CD44,HMGB1,Water CD44 (403),,,,,
Pipeline Safety Fund,CD44,HMGB1,Other CD44 (407),,,,,
Salaries and Expenses,CD44,HMGB1,Other CD44 (407),,,,,
Pipeline Safety,CD44,HMGB1,Other CD44 (407),,,,,
Salaries and Expenses,CD44,HMGB1,Other CD44 (407),,,,,
Salaries and Expenses,CD44,HMGB1,Other CD44 (407),,,,,
Federal Intergovernmental  Air CD44 (B01),CD44,HMGB1,Federal Intergovernmental  Air CD44 (B01),,,,,
Federal Intergovernmental  Highways (B46),CD44,HMGB1,Federal Intergovernmental  Highways (B46),,,,,
Current Operations  Air CD44 (E01),CD44,HMGB1,Current Operations  Air CD44 (E01),,,,,
Current Operations  Regular Highways (E44),CD44,HMGB1,Current Operations  Regular Highways (E44),,,,,
Current Operations  Toll Highways (E45),CD44,HMGB1,Current Operations  Toll Highways (E45),,,,,
Current Operations  Private Transit Subsidies (Disc. 2005) (E47),CD44,HMGB1,Current Operations  Private Transit Subsidies (Disc. 2005) (E47),,,,,
Current Operations  Sea and Inland Port Facilities (E87),CD44,HMGB1,Current Operations  Sea and Inland Port Facilities (E87),,,,,
Construction  Air CD44 (F01),CD44,HMGB1,Construction  Air CD44 (F01),,,,,
Construction  Regular Highways (F44),CD44,HMGB1,Construction  Regular Highways (F44),,,,,
Construction  Toll Highways (F45),CD44,HMGB1,Construction  Toll Highways (F45),,,,,
Construction  Private Transit Subsidies (F47),CD44,HMGB1,Construction  Private Transit Subsidies (F47),,,,,
Construction  Sea and Inland Port Facilities (F87),CD44,HMGB1,Construction  Sea and Inland Port Facilities (F87),,,,,
Other Capital Outlay  Air CD44 (G01),CD44,HMGB1,Other Capital Outlay  Air CD44 (G01),,,,,
Other Capital Outlay  Regular Highways (G44),CD44,HMGB1,Other Capital Outlay  Regular Highways (G44),,,,,
Other Capital Outlay  Toll Highways (G45),CD44,HMGB1,Other Capital Outlay  Toll Highways (G45),,,,,
Other Capital Outlay  Private Transit Subsidies (G47),CD44,HMGB1,Other Capital Outlay  Private Transit Subsidies (G47),,,,,
Other Capital Outlay  Sea and Inland Port Facilities (G87),CD44,HMGB1,Other Capital Outlay  Sea and Inland Port Facilities (G87),,,,,
Federal Intergovernmental  Transit Utilities (B94),CD44,Transit,Federal Intergovernmental  Transit Utilities (B94),,,,,
Current Operations  Transit Utilities (E94),CD44,Transit,Current Operations  Transit Utilities (E94),,,,,
Construction  Transit Utilities (F94),CD44,Transit,Construction  Transit Utilities (F94),,,,,
Other Capital Outlay  Transit Utilities (G94),CD44,Transit,Other Capital Outlay  Transit Utilities (G94),,,,,
Transit Utilities  CCR5 on Debt (I94),CD44,Transit,Transit Utilities  CCR5 on Debt (I94),,,,,
Compensation of Members and Related Administrative Expenses,BRCA2,IGF1R,Legislative functions (801),,,,,
Salaries and Expenses,BRCA2,IGF1R,Legislative functions (801),,,,,
General Expenses,BRCA2,IGF1R,Legislative functions (801),,,,,
Salaries,BRCA2,IGF1R,Legislative functions (801),,,,,
General Administration,BRCA2,IGF1R,Legislative functions (801),,,,,
Capitol Building,BRCA2,IGF1R,Legislative functions (801),,,,,
Senate Office Buildings,BRCA2,IGF1R,Legislative functions (801),,,,,
House Office Buildings,BRCA2,IGF1R,Legislative functions (801),,,,,
Capitol Power Plant,BRCA2,IGF1R,Legislative functions (801),,,,,
Congressional Research Service: Salaries and Expenses,BRCA2,IGF1R,Legislative functions (801),,,,,
Congressional Printing and Binding,BRCA2,IGF1R,Legislative functions (801),,,,,
Salaries and Expenses,BRCA2,IGF1R,Legislative functions (801),,,,,
"Salaries, Officers and Employees",BRCA2,IGF1R,Legislative functions (801),,,,,
Sergeant at Arms and Doorkeeper of the Senate,BRCA2,IGF1R,Legislative functions (801),,,,,
Inquiries and Investigations,BRCA2,IGF1R,Legislative functions (801),,,,,
Senators' Official Personnel and Office Expense Account,BRCA2,IGF1R,Legislative functions (801),,,,,
Salaries and Expenses,BRCA2,IGF1R,Executive direction and management (802),,,,,
Office of Management and Budget,BRCA2,IGF1R,Executive direction and management (802),,,,,
The White House,BRCA2,IGF1R,Executive direction and management (802),,,,,
Office of the United States Trade Representative,BRCA2,IGF1R,Executive direction and management (802),,,,,
Other Federal Drug Control Programs,BRCA2,IGF1R,Executive direction and management (802),,,,,
Charges for Administrative Expenses of Social Security Act As Amended,BRCA2,IGF1R,Central fiscal operations (803),,,,,
"New Installment Agreements, IRS Miscellaneous Retained Fees",BRCA2,IGF1R,Central fiscal operations (803),,,,,
"General User Fees, IRS Miscellaneous Retained Fees",BRCA2,IGF1R,Central fiscal operations (803),,,,,
Underpayment and Fraud Collection,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Debt Collection,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Federal Financing Bank,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Financial Agent Services,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Federal Reserve Bank Reimbursement Fund,BRCA2,IGF1R,Central fiscal operations (803),,,,,
"Salaries and Expenses, Fiscal Service",BRCA2,IGF1R,Central fiscal operations (803),,,,,
"Salaries and Expenses, Fiscal Service",BRCA2,IGF1R,Central fiscal operations (803),,,,,
Reimbursements to Federal Reserve Banks,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Salaries and Expenses,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Informant Payments,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Taxpayer Services,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Enforcement,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Operations Support,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Business Systems Modernization,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Salaries and Expenses,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Treasury Inspector General for Tax Administration,BRCA2,IGF1R,Central fiscal operations (803),,,,,
Office of Inspector General,BRCA2,IGF1R,General property and records management (804),,,,,
Operating Expenses,BRCA2,IGF1R,General property and records management (804),,,,,
Governmentwide Policy,BRCA2,IGF1R,General property and records management (804),,,,,
Federal Buildings Fund,BRCA2,IGF1R,General property and records management (804),,,,,
"Federal Buildings Fund, Recovery Act",BRCA2,IGF1R,General property and records management (804),,,,,
Operating Expenses,BRCA2,IGF1R,General property and records management (804),,,,,
Salaries and Expenses,BRCA2,IGF1R,Central personnel management (805),,,,,
Payment to Civil Service Retirement and Disability Fund,BRCA2,IGF1R,Central personnel management (805),,,,,
General Fund Payment to the Civil Service Retirement and Disability Fund,BRCA2,IGF1R,Central personnel management (805),,,,,
Current Operations  Financial Administration (E23),BRCA2,IGF1R,Current Operations  Financial Administration (E23),,,,,
Current Operations  State Legislative Services (E26),BRCA2,IGF1R,Current Operations  State Legislative Services (E26),,,,,
Current Operations  Central Staff Services (E29),BRCA2,IGF1R,Current Operations  Central Staff Services (E29),,,,,
Current Operations  General Public Buildings (E31),BRCA2,IGF1R,Current Operations  General Public Buildings (E31),,,,,
Construction  Financial Administration (F23),BRCA2,IGF1R,Construction  Financial Administration (F23),,,,,
Construction  State Legislative Services (F26),BRCA2,IGF1R,Construction  State Legislative Services (F26),,,,,
Construction  Central Staff Services (F29),BRCA2,IGF1R,Construction  Central Staff Services (F29),,,,,
Construction  General Public Buildings (F31),BRCA2,IGF1R,Construction  General Public Buildings (F31),,,,,
Other Capital Outlay  Financial Administration (G23),BRCA2,IGF1R,Other Capital Outlay  Financial Administration (G23),,,,,
Other Capital Outlay  State Legislative Services (G26),BRCA2,IGF1R,Other Capital Outlay  State Legislative Services (G26),,,,,
Other Capital Outlay  Central Staff Services (G29),BRCA2,IGF1R,Other Capital Outlay  Central Staff Services (G29),,,,,
Other Capital Outlay  General Public Building (G31),BRCA2,IGF1R,Other Capital Outlay  General Public Building (G31),,,,,
Mineral Leasing and Associated Payments,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
"Payments to the United States Territories, Fiscal Assistance",BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Payments to States in Lieu of Coal Fee Receipts,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Payments in Lieu of Taxes,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Internal Revenue Collections for Puerto Rico,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
"Build America Bond Payments, Recovery Act",BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
"Refunds, Transfers, and Expenses of Operation, Puerto Rico",BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Federal Payment to the District of Columbia Courts,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Defender Services in District of Columbia Courts,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Forest Service Permanent Appropriations,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Forest Service Permanent Appropriations,BRCA2,LDLR,General purpose fiscal assistance (806),,,,,
Social Security Integrity and Debt Reduction (807),BRCA2,LDLR,Social Security Integrity and Debt Reduction (807),,,,,
Assistance to Territories,BRCA2,LDLR,Other BRCA2 (808),,,,,
Compact of Free Association,BRCA2,LDLR,Other BRCA2 (808),,,,,
Federal Trust Programs,BRCA2,LDLR,Other BRCA2 (808),,,,,
"Claims, Judgments, and Relief Acts",BRCA2,LDLR,Other BRCA2 (808),,,,,
Government Printing Office Revolving Fund,BRCA2,LDLR,Other BRCA2 (808),,,,,
Salaries and Expenses,BRCA2,LDLR,Other BRCA2 (808),,,,,
Federal Intergovernmental  General Local Government Support (B30),BRCA2,LDLR,Federal Intergovernmental  General Local Government Support (B30),,,,,
Space Operations,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
Science,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
Cross Agency Support,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
Exploration,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
APC,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
"Construction, Environmental Compliance, and Remediation",MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
Space Technology,MTOR,HBB,"Space flight, research, and supporting activities (252)",,,,,
Deposit Insurance Fund,MTOR,GSK3B,Deposit insurance (373),,,,,
Orderly Liquidation Fund,MTOR,GSK3B,Deposit insurance (373),,,,,
Credit Union Share Insurance Fund,MTOR,GSK3B,Deposit insurance (373),,,,,
Central Liquidity Facility,MTOR,GSK3B,Deposit insurance (373),,,,,
Temporary Corporate Credit Union Stabilization Fund,MTOR,GSK3B,Deposit insurance (373),,,,,
"Surveys, Investigations, and Research",MTOR,NOTCH1,Other natural resources (306),,,,,
Coastal Impact Assistance,MTOR,NOTCH1,Other natural resources (306),,,,,
Salaries and Expenses,MTOR,NOTCH1,Other natural resources (306),,,,,
Salaries and Expenses,MTOR,NOTCH1,Other natural resources (306),,,,,
Working Capital Fund,MTOR,NOTCH1,Other natural resources (306),,,,,
Interior Franchise Fund,MTOR,NOTCH1,Other natural resources (306),,,,,
"Operations, Research, and Facilities",MTOR,NOTCH1,Other natural resources (306),,,,,
"Operations, Research, and Facilities",MTOR,NOTCH1,Other natural resources (306),,,,,
Pacific Coastal Salmon Recovery,MTOR,NOTCH1,Other natural resources (306),,,,,
"Procurement, Acquisition and Construction",MTOR,NOTCH1,Other natural resources (306),,,,,
Farm Credit System Insurance Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Administrative and Operating Expenses,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Federal Crop Insurance Corporation Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Federal Crop Insurance Corporation Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Agricultural Credit Insurance Fund Program Account,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Discrimination Claims Settlement,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Agricultural Credit Insurance Fund Liquidating Account,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Commodity Credit Corporation Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Agricultural Disaster Relief Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Salaries and Expenses,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Tobacco Trust Fund,MTOR,NOTCH1,Farm income stabilization (351),,,,,
Departmental Administration,MTOR,NOTCH1,Farm income stabilization (351),,,,,
"Deposits of Fees, Inspection and Grading of Farm Products, AMS",MTOR,NOTCH1,Agricultural research and services (352),,,,,
Economic Research Service,MTOR,NOTCH1,Agricultural research and services (352),,,,,
National Agricultural Statistics Service,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Salaries and Expenses,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Research and APC Activities,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Research and APC Activities,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Integrated Activities,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Extension Activities,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Extension Activities,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Salaries and Expenses,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Salaries and Expenses,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Marketing Services,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Payments to States and Possessions,MTOR,NOTCH1,Agricultural research and services (352),,,,,
"Expenses and Refunds, Inspection and Grading of Farm Products",MTOR,NOTCH1,Agricultural research and services (352),,,,,
Agriculture Buildings and Facilities and Rental Payments,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Salaries and Expenses,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Office of Civil Rights,MTOR,NOTCH1,Agricultural research and services (352),,,,,
Office of Inspector General,MTOR,NOTCH1,Agricultural research and services (352),,,,,
"Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",MTOR,NOTCH1,"Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",,,,,
Federal Intergovernmental  Natural Resources (B59),MTOR,NOTCH1,Federal Intergovernmental  Natural Resources (B59),,,,,
Current Operations  Agriculture  Other (Disc. 2005) (E54),MTOR,NOTCH1,Current Operations  Agriculture  Other (Disc. 2005) (E54),,,,,
Current Operations  State Fish and Game (E55),MTOR,NOTCH1,Current Operations  State Fish and Game (E55),,,,,
Current Operations  State Forestry (E56),MTOR,NOTCH1,Current Operations  State Forestry (E56),,,,,
Current Operations  Natural Resources  Other (E59),MTOR,NOTCH1,Current Operations  Natural Resources  Other (E59),,,,,
Construction  Agriculture  Other (Disc. 2005) (F54),MTOR,NOTCH1,Construction  Agriculture  Other (Disc. 2005) (F54),,,,,
Construction  State Fish and Game (F55),MTOR,NOTCH1,Construction  State Fish and Game (F55),,,,,
Construction  State Forestry (F56),MTOR,NOTCH1,Construction  State Forestry (F56),,,,,
Construction  Natural Resources  Other (F59),MTOR,NOTCH1,Construction  Natural Resources  Other (F59),,,,,
Other Capital Outlay  Agriculture  Other (Disc. 2005) (G54),MTOR,NOTCH1,Other Capital Outlay  Agriculture  Other (Disc. 2005) (G54),,,,,
Other Capital Outlay  State Fish and Game (G55),MTOR,NOTCH1,Other Capital Outlay  State Fish and Game (G55),,,,,
Other Capital Outlay  State Forestry (G56),MTOR,NOTCH1,Other Capital Outlay  State Forestry (G56),,,,,
Other Capital Outlay  Natural Resources  Other (G59),MTOR,NOTCH1,Other Capital Outlay  Natural Resources  Other (G59),,,,,
Payment Where Specified Energy Property Credit Exceeds Liability for Tax,MTOR,RET,Energy supply (271),,,,,
"Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",MTOR,RET,Energy supply (271),,,,,
"Sale and Transmission of Electric Energy, Southwestern Power Administration",MTOR,RET,Energy supply (271),,,,,
"Sale and Transmission of Electric Energy, Southeastern Power Administration",MTOR,RET,Energy supply (271),,,,,
"Reclamation Fund, All Other, Sale of Electric Energy, Bonneville Power Administration",MTOR,RET,Energy supply (271),,,,,
"Reclamation Fund, All Other, Sale of Power and Other Utilities (WAPA)",MTOR,RET,Energy supply (271),,,,,
Nuclear Waste Disposal Fund,MTOR,RET,Energy supply (271),,,,,
"General Fund Payment  KRAS, Decontamination and Decommissioning Fund",MTOR,RET,Energy supply (271),,,,,
Title 17 Innovative Technology Loan Guarantee Program,MTOR,RET,Energy supply (271),,,,,
Fossil Energy Research and Development,MTOR,RET,Energy supply (271),,,,,
NonKRAS Environmental Cleanup,MTOR,RET,Energy supply (271),,,,,
Electricity Delivery and Energy Reliability,MTOR,RET,Energy supply (271),,,,,
Nuclear Energy,MTOR,RET,Energy supply (271),,,,,
Energy Efficiency and Renewable Energy,MTOR,RET,Energy supply (271),,,,,
"Energy Transformation Acceleration Fund, Recovery Act",MTOR,RET,Energy supply (271),,,,,
Advanced Research Projects Agency,MTOR,RET,Energy supply (271),,,,,
Uranium Enrichment Decontamination and Decommissioning Fund,MTOR,RET,Energy supply (271),,,,,
"Western Area Power Administration, Borrowing Authority, Recovery Act.",MTOR,RET,Energy supply (271),,,,,
"Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration",MTOR,RET,Energy supply (271),,,,,
Tennessee Valley Authority Fund,MTOR,RET,Energy supply (271),,,,,
"Rural Electrification and Telephone Loans, Negative Subsidies",MTOR,RET,Energy supply (271),,,,,
Rural Electrification and TeleSRCs Liquidating Account,MTOR,RET,Energy supply (271),,,,,
Energy Efficiency and Renewable Energy,MTOR,RET,Energy conservation (272),,,,,
Energy Efficiency and Renewable Energy,MTOR,RET,Energy conservation (272),,,,,
Advanced Technology Vehicles Manufacturing Loan Program Account,MTOR,RET,Energy conservation (272),,,,,
"Advanced Vehicles, Community Deployment Challenge",MTOR,RET,Energy conservation (272),,,,,
Home Energy Retrofit Rebate Program,MTOR,RET,Energy conservation (272),,,,,
Strategic Petroleum Reserve,MTOR,RET,Emergency energy preparedness (274),,,,,
SPR Petroleum Account,MTOR,RET,Emergency energy preparedness (274),,,,,
Energy Information Administration,MTOR,RET,PTX3,,,,,
